aadtenantid,intuneaccountid,count
8c0aa3fa-baaf-4713-a02e-487637cf14be,4637f244-e741-4af1-b3ac-5f38ae0c29bd,16
a1b03033-8a3d-4443-a90b-0f3298ffbf90,07667970-aa53-4d14-a483-2a3b2e55f650,3
ff8a34aa-31fe-4a22-9c22-29e2af4a065d,f9d3d44e-3903-482e-ba59-8f1e435eafcd,2
7258b7f8-6ebb-427d-91bd-24b91e4167cb,4b2bef3f-9466-4b75-8daf-573b45a6a9fe,2
7402c420-0163-48dd-afa2-6c4f07fcebc8,b510fde3-5950-44bf-ad81-07dc3cc3290e,1
e4140c25-dd8f-4f4c-92fa-a18049818d8f,036671ec-d39f-4230-bc7b-885fa1773f46,1
1a779371-46bf-4b4f-b5c2-b878c4e3bf0a,7a785439-5933-43f1-982c-3f079da49035,1
ca237dfd-4dcb-49d7-a274-c2c46adabf08,cd53749e-d41d-4361-b0c4-d8ee954c5426,1
6eb6f1fa-b429-4959-9228-883d677541b6,db3ede40-db83-4d56-b296-0db8701b2e44,1
89bf4e1a-5d95-4c95-905f-898c60867c6f,81548820-4e4a-4891-8280-7550e7b0ef33,1
f6d2d153-e0ee-434f-ab31-a24b12136665,c89b7656-c938-4aef-9be2-601e14863442,1
4667a01a-1fc7-4b65-9677-3445936e5e10,f5e5de5c-f963-4590-a903-9f25a7676162,1
b2bb6997-5de6-4dac-9e6a-84c2a3e4783e,8255ce0e-1d44-4663-9664-9190665a5117,1
